,year,mon,day,phonelock_time
0,2013,3,27,35811
1,2013,3,28,71612
2,2013,3,29,70055
3,2013,3,30,17469
4,2013,3,31,68103
5,2013,4,1,57602
6,2013,4,2,18047
7,2013,4,3,55279
8,2013,4,4,8213
9,2013,4,5,38147
10,2013,4,6,60684
11,2013,4,7,0
12,2013,4,8,47138
13,2013,4,9,18537
14,2013,4,10,48025
15,2013,4,11,48313
16,2013,4,12,43245
17,2013,4,13,56066
18,2013,4,14,10586
19,2013,4,15,24229
20,2013,4,16,8595
21,2013,4,17,66053
22,2013,4,18,75906
23,2013,4,19,48538
24,2013,4,20,14441
25,2013,4,21,5634
26,2013,4,22,39463
27,2013,4,24,62648
28,2013,4,25,0
29,2013,4,28,3827
30,2013,4,29,0
31,2013,5,3,0
32,2013,5,4,0
33,2013,5,5,0
34,2013,5,6,24174
35,2013,5,7,32874
36,2013,5,8,61141
37,2013,5,9,45181
38,2013,5,10,65640
39,2013,5,11,48436
40,2013,5,12,28051
41,2013,5,13,60505
42,2013,5,14,34499
43,2013,5,15,0
44,2013,5,16,33689
45,2013,5,17,11317
46,2013,5,18,3862
47,2013,5,19,3714
48,2013,5,20,4175
49,2013,5,21,19684
50,2013,5,22,33313
51,2013,5,23,52153
52,2013,5,24,42455
53,2013,5,25,0
54,2013,5,27,36277
55,2013,5,28,51130
56,2013,5,30,25595
57,2013,5,31,7364
