,year,mon,day,phonelock_time
0,2013,4,1,25886
1,2013,4,2,31332
2,2013,4,3,103852
3,2013,4,4,37510
4,2013,4,5,17132
5,2013,4,6,52184
6,2013,4,7,49237
7,2013,4,8,34534
8,2013,4,9,42411
9,2013,4,10,39590
10,2013,4,11,39895
11,2013,4,12,8052
12,2013,4,13,15903
13,2013,4,14,27436
14,2013,4,15,16786
15,2013,4,16,34012
16,2013,4,17,26165
17,2013,4,18,0
18,2013,4,19,21126
19,2013,4,20,7867
20,2013,4,21,4251
21,2013,4,22,4770
22,2013,4,23,3760
23,2013,4,24,28136
24,2013,4,25,4005
25,2013,4,26,0
26,2013,4,27,32446
27,2013,4,28,31132
28,2013,4,29,23522
29,2013,4,30,0
30,2013,5,1,20846
31,2013,5,2,17112
32,2013,5,3,18884
33,2013,5,5,4995
34,2013,5,6,23553
35,2013,5,7,9750
36,2013,5,8,18906
37,2013,5,9,30635
38,2013,5,10,20903
39,2013,5,11,3868
40,2013,5,12,9625
41,2013,5,13,0
42,2013,5,14,4342
43,2013,5,15,0
44,2013,5,16,10025
45,2013,5,17,0
46,2013,5,18,27709
47,2013,5,19,13441
48,2013,5,20,14750
49,2013,5,21,0
