,year,mon,day,phonelock_time
0,2013,3,27,28894
1,2013,3,28,41708
2,2013,3,29,34182
3,2013,3,30,40362
4,2013,3,31,53616
5,2013,4,1,18126
6,2013,4,2,7809
7,2013,4,3,33028
8,2013,4,4,15588
9,2013,4,5,21105
10,2013,4,6,34657
11,2013,4,7,26487
12,2013,4,8,33931
13,2013,4,9,42001
14,2013,4,10,29241
15,2013,4,11,45477
16,2013,4,12,52708
17,2013,4,13,37644
18,2013,4,14,23481
19,2013,4,15,41152
20,2013,4,16,35847
21,2013,4,17,23777
22,2013,4,18,0
23,2013,4,19,22064
24,2013,4,20,5334
25,2013,4,21,17414
26,2013,4,22,32306
27,2013,4,23,12585
28,2013,4,24,18729
29,2013,4,25,0
30,2013,4,26,27919
31,2013,4,27,0
32,2013,4,28,13838
33,2013,4,29,20156
34,2013,4,30,17818
35,2013,5,1,29954
36,2013,5,2,3665
37,2013,5,3,26738
38,2013,5,4,0
39,2013,5,5,12081
40,2013,5,6,25380
41,2013,5,7,20323
42,2013,5,8,44299
43,2013,5,9,40551
44,2013,5,10,37656
45,2013,5,11,41026
46,2013,5,12,11443
47,2013,5,13,43403
48,2013,5,14,36107
49,2013,5,15,35198
50,2013,5,16,13166
51,2013,5,17,35048
52,2013,5,18,54416
53,2013,5,19,30925
54,2013,5,20,38921
55,2013,5,21,27439
56,2013,5,22,24915
57,2013,5,23,6062
58,2013,5,24,37208
59,2013,5,25,40770
60,2013,5,26,12731
61,2013,5,27,22492
62,2013,5,28,26574
