,year,mon,day,phonelock_time
0,2013,3,27,36778
1,2013,3,28,13201
2,2013,3,29,52925
3,2013,3,30,46995
4,2013,3,31,58860
5,2013,4,1,67073
6,2013,4,2,54741
7,2013,4,3,58360
8,2013,4,4,59506
9,2013,4,5,57196
10,2013,4,6,62968
11,2013,4,7,65781
12,2013,4,8,55166
13,2013,4,9,41822
14,2013,4,10,57184
15,2013,4,11,24888
16,2013,4,12,48776
17,2013,4,13,35780
18,2013,4,14,56716
19,2013,4,15,51851
20,2013,4,16,57670
21,2013,4,17,4321
22,2013,4,18,45693
23,2013,4,19,12470
24,2013,4,20,27807
25,2013,4,21,58760
26,2013,4,22,61946
27,2013,4,23,49570
28,2013,4,24,54411
29,2013,4,25,55132
30,2013,4,26,50770
31,2013,4,27,10603
32,2013,4,28,0
33,2013,4,29,12383
34,2013,4,30,23378
35,2013,5,1,25958
36,2013,5,2,65076
37,2013,5,3,17507
38,2013,5,4,19858
39,2013,5,5,16197
40,2013,5,6,8830
41,2013,5,7,54442
42,2013,5,8,8618
43,2013,5,9,18765
44,2013,5,10,21349
45,2013,5,11,11736
46,2013,5,12,17609
47,2013,5,13,66543
48,2013,5,14,9150
49,2013,5,15,16155
50,2013,5,16,31191
51,2013,5,17,71001
52,2013,5,18,19856
53,2013,5,19,17085
54,2013,5,20,30820
55,2013,5,21,14553
56,2013,5,22,17318
57,2013,5,23,14258
58,2013,5,24,14537
59,2013,5,25,40372
60,2013,5,26,11544
61,2013,5,27,34564
62,2013,5,28,66280
63,2013,5,29,53309
64,2013,5,30,6818
65,2013,5,31,0
