,year,mon,day,phonelock_time
0,2013,4,2,57589
1,2013,4,3,57512
2,2013,4,4,36087
3,2013,4,5,45019
4,2013,4,6,49121
5,2013,4,7,4201
6,2013,4,8,42536
7,2013,4,9,12547
8,2013,4,10,0
9,2013,4,11,13757
10,2013,4,13,19189
11,2013,4,14,5810
12,2013,4,15,10356
13,2013,4,16,0
14,2013,4,17,0
15,2013,4,18,20063
16,2013,4,19,0
17,2013,4,21,39635
18,2013,4,22,24669
19,2013,4,23,15212
20,2013,4,26,21158
21,2013,4,28,4699
22,2013,4,29,6501
23,2013,4,30,7201
24,2013,5,1,0
25,2013,5,2,0
26,2013,5,3,0
27,2013,5,5,6658
28,2013,5,6,0
29,2013,5,7,0
30,2013,5,8,12280
31,2013,5,9,0
32,2013,5,12,6814
33,2013,5,13,0
34,2013,5,14,57340
35,2013,5,15,66089
36,2013,5,19,6141
37,2013,5,20,9214
