,year,mon,day,phonelock_time
0,2013,3,27,35488
1,2013,3,28,5168
2,2013,3,29,51727
3,2013,3,30,62588
4,2013,3,31,67891
5,2013,4,1,63734
6,2013,4,2,0
7,2013,4,3,45712
8,2013,4,4,34392
9,2013,4,5,60328
10,2013,4,6,27289
11,2013,4,7,37005
12,2013,4,8,40547
13,2013,4,9,15823
14,2013,4,10,62165
15,2013,4,11,65483
16,2013,4,12,59421
17,2013,4,13,23120
18,2013,4,14,33903
19,2013,4,15,40912
20,2013,4,16,19385
21,2013,4,17,42852
22,2013,4,18,64547
23,2013,4,19,32940
24,2013,4,20,0
25,2013,4,21,65512
26,2013,4,22,50737
27,2013,4,23,49618
28,2013,4,24,52022
29,2013,4,25,61808
30,2013,4,26,53055
31,2013,4,27,73635
32,2013,4,28,11976
33,2013,4,29,41457
34,2013,4,30,7567
35,2013,5,1,61216
36,2013,5,2,46059
37,2013,5,3,73199
38,2013,5,4,61886
39,2013,5,8,20808
40,2013,5,9,29747
41,2013,5,10,31860
42,2013,5,13,8889
43,2013,5,14,0
44,2013,5,15,51936
45,2013,5,16,33362
46,2013,5,17,4243
47,2013,5,18,24227
48,2013,5,19,18962
49,2013,5,20,25570
50,2013,5,21,0
51,2013,5,22,5956
52,2013,5,23,43007
53,2013,5,24,0
54,2013,5,26,35563
55,2013,5,27,0
56,2013,5,28,29593
