,year,mon,day,phonelock_time
0,2013,3,27,37111
1,2013,3,28,35266
2,2013,3,29,0
3,2013,3,30,23975
4,2013,3,31,34691
5,2013,4,1,41459
6,2013,4,2,51007
7,2013,4,3,40710
8,2013,4,4,42142
9,2013,4,5,36394
10,2013,4,6,19704
11,2013,4,7,4488
12,2013,4,8,14704
13,2013,4,9,47624
14,2013,4,10,50548
15,2013,4,11,45778
16,2013,4,12,41719
17,2013,4,13,33290
18,2013,4,14,41252
19,2013,4,15,28840
20,2013,4,16,59957
21,2013,4,17,44859
22,2013,4,18,45873
23,2013,4,19,33293
24,2013,4,20,12904
25,2013,4,21,32188
26,2013,4,22,47990
27,2013,4,23,44434
28,2013,4,24,36008
29,2013,4,25,25343
30,2013,4,26,31423
31,2013,4,27,0
32,2013,4,28,31218
33,2013,4,29,9262
34,2013,4,30,20750
35,2013,5,1,39895
36,2013,5,2,38825
37,2013,5,3,23451
38,2013,5,4,19902
39,2013,5,5,4006
40,2013,5,6,23358
41,2013,5,7,39688
42,2013,5,8,23621
43,2013,5,9,19163
44,2013,5,10,42311
45,2013,5,11,24134
46,2013,5,12,22900
47,2013,5,13,50713
48,2013,5,14,8745
49,2013,5,15,30611
50,2013,5,16,29843
51,2013,5,17,26410
52,2013,5,18,27914
53,2013,5,19,6932
54,2013,5,20,19443
55,2013,5,21,27905
56,2013,5,22,0
57,2013,5,23,26856
58,2013,5,24,28363
59,2013,5,25,16947
60,2013,5,26,29293
61,2013,5,27,12138
62,2013,5,28,14516
63,2013,5,29,37160
64,2013,5,30,39195
65,2013,5,31,39078
