,year,mon,day,phonelock_time
0,2013,3,28,33755
1,2013,3,29,43461
2,2013,3,30,31533
3,2013,3,31,62155
4,2013,4,1,56594
5,2013,4,2,55197
6,2013,4,3,55028
7,2013,4,4,69825
8,2013,4,5,63003
9,2013,4,6,73221
10,2013,4,7,44824
11,2013,4,8,66775
12,2013,4,9,56132
13,2013,4,10,59162
14,2013,4,11,35566
15,2013,4,12,40405
16,2013,4,13,47503
17,2013,4,14,74081
18,2013,4,15,55795
19,2013,4,16,45567
20,2013,4,17,61804
21,2013,4,18,71932
22,2013,4,19,65680
23,2013,4,20,74298
24,2013,4,21,68568
25,2013,4,22,61468
26,2013,4,23,7084
27,2013,4,24,28945
28,2013,4,25,0
29,2013,4,26,23218
30,2013,4,27,68203
31,2013,4,28,66138
32,2013,4,29,44427
33,2013,4,30,19673
34,2013,5,1,24027
35,2013,5,2,0
36,2013,5,3,40837
37,2013,5,5,0
38,2013,5,6,12125
39,2013,5,7,47191
40,2013,5,8,0
41,2013,5,9,0
42,2013,5,10,37905
43,2013,5,12,27450
44,2013,5,13,55236
45,2013,5,14,28370
46,2013,5,15,34850
47,2013,5,20,0
48,2013,5,21,8285
49,2013,5,22,0
50,2013,5,23,41062
51,2013,5,24,0
52,2013,5,25,63503
53,2013,5,26,50930
54,2013,5,28,26563
55,2013,5,29,16558
56,2013,5,30,34648
57,2013,5,31,67008
