,year,mon,day,phonelock_time
0,2013,3,27,24660
1,2013,3,28,10993
2,2013,3,29,0
3,2013,3,30,62253
4,2013,3,31,70857
5,2013,4,1,9996
6,2013,4,2,68088
7,2013,4,3,51974
8,2013,4,4,69337
9,2013,4,5,60503
10,2013,4,6,56171
11,2013,4,7,30562
12,2013,4,8,15822
13,2013,4,9,0
14,2013,4,10,0
15,2013,4,11,34185
16,2013,4,12,80007
17,2013,4,13,30444
18,2013,4,14,4153
19,2013,4,15,31907
20,2013,4,16,52625
21,2013,4,17,57509
22,2013,4,18,55519
23,2013,4,19,61642
24,2013,4,20,55832
25,2013,4,21,52890
26,2013,4,22,5092
27,2013,4,23,49607
28,2013,4,24,62424
29,2013,4,25,59817
30,2013,4,26,57059
31,2013,4,27,6200
32,2013,4,28,0
33,2013,4,29,21752
34,2013,4,30,4418
35,2013,5,1,77461
36,2013,5,2,36606
37,2013,5,3,18810
38,2013,5,4,61450
39,2013,5,6,49872
40,2013,5,7,0
41,2013,5,9,0
42,2013,5,12,29056
43,2013,5,13,68879
