,year,mon,day,phonelock_time
0,2013,3,28,24895
1,2013,3,29,8142
2,2013,3,30,21198
3,2013,3,31,51492
4,2013,4,1,21823
5,2013,4,2,50672
6,2013,4,3,17232
7,2013,4,4,27712
8,2013,4,5,32873
9,2013,4,6,9543
10,2013,4,7,0
11,2013,4,8,28344
12,2013,4,9,10875
13,2013,4,10,7989
14,2013,4,11,44911
15,2013,4,12,30365
16,2013,4,13,40587
17,2013,4,14,9350
18,2013,4,15,9011
19,2013,4,16,5195
20,2013,4,17,29146
21,2013,4,18,32093
22,2013,4,19,18061
23,2013,4,20,0
24,2013,4,21,29301
25,2013,4,22,23313
26,2013,4,23,3888
27,2013,4,24,0
28,2013,4,25,7599
29,2013,4,26,19419
30,2013,4,27,4953
31,2013,4,28,21620
32,2013,4,29,9416
33,2013,4,30,21815
34,2013,5,1,15906
35,2013,5,2,18430
36,2013,5,3,26601
37,2013,5,4,11928
38,2013,5,5,11109
39,2013,5,6,34047
40,2013,5,7,37318
41,2013,5,8,32286
42,2013,5,9,8043
43,2013,5,10,44660
44,2013,5,11,49374
45,2013,5,12,61468
46,2013,5,13,61974
47,2013,5,14,49696
48,2013,5,15,44651
49,2013,5,16,18811
50,2013,5,17,19266
51,2013,5,18,0
