,year,mon,day,phonelock_time
0,2013,3,27,5710
1,2013,3,28,43508
2,2013,3,29,57364
3,2013,3,30,16919
4,2013,3,31,60533
5,2013,4,1,60154
6,2013,4,2,56462
7,2013,4,3,22907
8,2013,4,4,30963
9,2013,4,5,64894
10,2013,4,6,31318
11,2013,4,7,73158
12,2013,4,8,67408
13,2013,4,9,14989
14,2013,4,10,29088
15,2013,4,11,59899
16,2013,4,12,55985
17,2013,4,13,68112
18,2013,4,14,64351
19,2013,4,15,64778
20,2013,4,16,66884
21,2013,4,17,58551
22,2013,4,18,64193
23,2013,4,19,64624
24,2013,4,20,4513
25,2013,4,21,13927
26,2013,4,22,52022
27,2013,4,23,70417
28,2013,4,24,48649
29,2013,4,25,70316
30,2013,4,26,70568
31,2013,4,27,22084
32,2013,4,28,35948
33,2013,4,29,60217
34,2013,4,30,39912
35,2013,5,1,20480
36,2013,5,2,0
37,2013,5,3,52637
38,2013,5,4,60181
39,2013,5,5,72847
40,2013,5,6,37726
41,2013,5,8,76509
42,2013,5,9,72782
43,2013,5,10,32797
44,2013,5,11,23802
45,2013,5,12,22662
46,2013,5,13,51628
47,2013,5,14,50604
48,2013,5,15,49935
49,2013,5,16,29608
50,2013,5,17,58204
51,2013,5,18,11717
52,2013,5,19,73553
53,2013,5,20,5407
54,2013,5,21,54461
55,2013,5,22,28747
56,2013,5,23,30069
57,2013,5,24,47347
58,2013,5,25,69207
59,2013,5,26,60325
60,2013,5,27,36757
61,2013,5,28,56943
62,2013,5,29,53130
63,2013,5,30,66269
64,2013,5,31,64417
