,year,mon,day,phonelock_time
0,2013,3,27,30028
1,2013,3,28,27872
2,2013,3,29,30390
3,2013,3,30,53034
4,2013,3,31,62076
5,2013,4,1,55589
6,2013,4,2,45888
7,2013,4,3,4960
8,2013,4,4,19578
9,2013,4,5,29285
10,2013,4,6,7051
11,2013,4,7,12430
12,2013,4,8,53016
13,2013,4,9,15845
14,2013,4,10,28893
15,2013,4,11,15250
16,2013,4,12,47323
17,2013,4,13,7606
18,2013,4,14,13192
19,2013,4,15,59844
20,2013,4,16,62660
21,2013,4,17,45090
22,2013,4,18,6609
23,2013,4,19,45155
24,2013,4,20,10679
25,2013,4,21,20199
26,2013,4,22,49333
27,2013,4,23,13501
28,2013,4,24,17644
29,2013,4,25,26820
30,2013,4,26,49630
31,2013,4,27,26394
32,2013,4,28,59727
33,2013,4,29,67664
34,2013,4,30,0
35,2013,5,1,43753
36,2013,5,2,24943
37,2013,5,3,63435
38,2013,5,4,9210
39,2013,5,6,43047
40,2013,5,7,63738
41,2013,5,8,33740
42,2013,5,9,57563
43,2013,5,10,55537
44,2013,5,11,22566
45,2013,5,12,0
46,2013,5,13,26698
47,2013,5,14,69560
48,2013,5,15,41780
49,2013,5,16,68979
50,2013,5,17,8471
51,2013,5,18,65937
52,2013,5,19,15676
53,2013,5,20,40253
54,2013,5,21,69352
55,2013,5,22,61385
56,2013,5,23,22396
57,2013,5,24,65611
58,2013,5,25,57692
59,2013,5,26,5417
60,2013,5,27,62842
61,2013,5,28,56254
