,year,mon,day,phonelock_time
0,2013,3,27,32167
1,2013,3,28,25780
2,2013,3,29,8981
3,2013,3,30,3980
4,2013,4,1,0
5,2013,4,2,53738
6,2013,4,3,0
7,2013,4,4,42560
8,2013,4,5,32509
9,2013,4,6,20732
10,2013,4,7,0
11,2013,4,8,46070
12,2013,4,9,34373
13,2013,4,10,0
14,2013,4,11,59523
15,2013,4,12,27765
16,2013,4,13,23061
17,2013,4,14,27191
18,2013,4,15,43765
19,2013,4,16,49653
20,2013,4,17,33145
21,2013,4,18,35540
22,2013,4,19,35883
23,2013,4,20,0
24,2013,4,21,38475
25,2013,4,22,30952
26,2013,4,23,38409
27,2013,4,24,44343
28,2013,4,25,29282
29,2013,4,26,12268
30,2013,4,27,55606
31,2013,4,28,37096
32,2013,4,29,21687
33,2013,4,30,53980
34,2013,5,1,43342
35,2013,5,2,48784
36,2013,5,3,37548
37,2013,5,4,46328
38,2013,5,5,8195
39,2013,5,6,39124
40,2013,5,7,36702
41,2013,5,8,50413
42,2013,5,9,52235
43,2013,5,10,60627
44,2013,5,11,29362
45,2013,5,12,38838
46,2013,5,13,39178
47,2013,5,14,54796
48,2013,5,15,36766
49,2013,5,16,37217
50,2013,5,17,19538
51,2013,5,18,55649
52,2013,5,19,42338
53,2013,5,20,38285
54,2013,5,21,46652
55,2013,5,22,31076
56,2013,5,23,40069
57,2013,5,24,47441
58,2013,5,25,42740
59,2013,5,26,36554
60,2013,5,27,31805
61,2013,5,28,53901
62,2013,5,29,8863
63,2013,5,30,0
64,2013,5,31,44603
