,year,mon,day,phonelock_time
0,2013,3,28,0
1,2013,3,29,73064
2,2013,3,30,19703
3,2013,3,31,10793
4,2013,4,1,33535
5,2013,4,2,64280
6,2013,4,3,64735
7,2013,4,4,44176
8,2013,4,5,65806
9,2013,4,6,6673
10,2013,4,7,4786
11,2013,4,8,8921
12,2013,4,9,21663
13,2013,4,11,61688
14,2013,4,12,23523
15,2013,4,13,0
16,2013,4,15,0
17,2013,4,16,0
18,2013,4,17,0
19,2013,4,18,26621
20,2013,4,19,32748
21,2013,4,20,5090
22,2013,4,21,12336
23,2013,4,22,0
24,2013,4,23,6507
25,2013,4,24,0
26,2013,4,25,0
27,2013,4,27,0
28,2013,4,30,7604
29,2013,5,1,0
30,2013,5,2,13142
31,2013,5,4,0
32,2013,5,5,0
33,2013,5,6,0
34,2013,5,7,30331
35,2013,5,10,0
36,2013,5,11,15506
37,2013,5,13,0
38,2013,5,14,0
39,2013,5,15,0
40,2013,5,19,4492
41,2013,5,24,0
42,2013,5,27,19174
43,2013,5,28,6116
44,2013,5,29,0
