,year,mon,day,phonelock_time
0,2013,3,28,35669
1,2013,3,29,7135
2,2013,3,30,40267
3,2013,3,31,27317
4,2013,4,2,38574
5,2013,4,3,25871
6,2013,4,4,25922
7,2013,4,5,40605
8,2013,4,6,41178
9,2013,4,7,0
10,2013,4,8,26693
11,2013,4,9,52344
12,2013,4,10,33558
13,2013,4,11,45211
14,2013,4,12,37283
15,2013,4,13,46166
16,2013,4,14,50596
17,2013,4,15,33448
18,2013,4,16,36740
19,2013,4,17,14467
20,2013,4,18,33799
21,2013,4,19,38892
22,2013,4,20,9663
23,2013,4,21,26976
24,2013,4,22,0
25,2013,4,23,15676
26,2013,4,24,25835
27,2013,4,25,38667
28,2013,4,26,26279
29,2013,4,27,30458
30,2013,4,28,21489
31,2013,4,29,11977
32,2013,4,30,25620
33,2013,5,1,23600
34,2013,5,2,33759
35,2013,5,3,28352
36,2013,5,4,0
37,2013,5,5,14415
38,2013,5,6,0
39,2013,5,7,6035
40,2013,5,8,25659
41,2013,5,9,0
