,year,mon,day,mac_address_num
0,2013,3,27,35
1,2013,3,28,67
2,2013,3,29,84
3,2013,3,30,55
4,2013,3,31,9
5,2013,4,1,97
6,2013,4,2,41
7,2013,4,3,73
8,2013,4,4,68
9,2013,4,5,32
10,2013,4,6,14
11,2013,4,7,3
12,2013,4,8,61
13,2013,4,9,34
14,2013,4,10,88
15,2013,4,11,39
16,2013,4,12,67
17,2013,4,13,7
18,2013,4,14,45
19,2013,4,15,23
20,2013,4,16,83
21,2013,4,17,114
22,2013,4,18,107
23,2013,4,19,12
24,2013,4,20,72
25,2013,4,21,76
26,2013,4,22,111
27,2013,4,23,81
28,2013,4,24,64
29,2013,4,25,48
30,2013,4,28,61
31,2013,4,29,75
32,2013,4,30,57
33,2013,5,1,72
34,2013,5,2,12
35,2013,5,3,81
36,2013,5,4,11
37,2013,5,5,45
38,2013,5,6,170
39,2013,5,7,69
40,2013,5,8,113
41,2013,5,9,98
42,2013,5,10,45
43,2013,5,11,13
44,2013,5,12,65
45,2013,5,13,135
46,2013,5,14,25
47,2013,5,15,130
48,2013,5,16,85
49,2013,5,17,50
50,2013,5,18,56
51,2013,5,19,40
52,2013,5,20,109
53,2013,5,21,85
54,2013,5,22,67
55,2013,5,23,88
56,2013,5,24,50
57,2013,5,25,5
58,2013,5,26,17
59,2013,5,27,106
60,2013,5,28,116
