,year,mon,day,mac_address_num
0,2013,3,27,25
1,2013,4,1,46
2,2013,4,2,38
3,2013,4,3,73
4,2013,4,4,46
5,2013,4,5,63
6,2013,4,6,18
7,2013,4,7,15
8,2013,4,8,60
9,2013,4,9,97
10,2013,4,10,62
11,2013,4,11,39
12,2013,4,12,100
13,2013,4,13,26
14,2013,4,14,70
15,2013,4,15,87
16,2013,4,16,62
17,2013,4,17,74
18,2013,4,18,104
19,2013,4,19,95
20,2013,4,20,32
21,2013,4,21,45
22,2013,4,22,104
23,2013,4,23,89
24,2013,4,24,48
25,2013,4,25,90
26,2013,4,26,114
27,2013,4,27,9
28,2013,4,28,18
29,2013,4,29,76
30,2013,4,30,103
31,2013,5,1,89
32,2013,5,2,61
33,2013,5,3,87
34,2013,5,4,37
35,2013,5,5,45
36,2013,5,6,95
37,2013,5,7,83
38,2013,5,8,88
39,2013,5,9,96
40,2013,5,10,68
41,2013,5,11,15
42,2013,5,12,33
43,2013,5,13,62
44,2013,5,14,61
45,2013,5,15,89
46,2013,5,16,58
47,2013,5,17,22
48,2013,5,20,65
49,2013,5,21,74
50,2013,5,22,44
51,2013,5,23,50
52,2013,5,24,32
53,2013,5,25,21
54,2013,5,26,39
55,2013,5,27,2
56,2013,5,28,75
57,2013,5,29,89
58,2013,5,30,40
