,year,mon,day,mac_address_num
0,2013,3,27,15
1,2013,3,28,37
2,2013,3,29,25
3,2013,3,30,24
4,2013,3,31,44
5,2013,4,1,32
6,2013,4,2,31
7,2013,4,3,32
8,2013,4,4,41
9,2013,4,5,32
10,2013,4,6,25
11,2013,4,7,10
12,2013,4,8,26
13,2013,4,9,25
14,2013,4,10,44
15,2013,4,11,47
16,2013,4,12,55
17,2013,4,13,13
18,2013,4,14,25
19,2013,4,15,86
20,2013,4,16,18
21,2013,4,17,33
22,2013,4,18,75
23,2013,4,19,64
24,2013,4,20,45
25,2013,4,21,30
26,2013,4,22,103
27,2013,4,23,11
28,2013,4,24,31
29,2013,4,25,69
30,2013,4,26,70
31,2013,4,27,43
32,2013,4,28,37
33,2013,4,29,50
34,2013,4,30,72
35,2013,5,1,64
36,2013,5,2,56
37,2013,5,3,49
38,2013,5,4,24
39,2013,5,5,35
40,2013,5,6,76
41,2013,5,7,31
42,2013,5,8,68
43,2013,5,9,66
44,2013,5,10,27
45,2013,5,11,31
46,2013,5,12,20
47,2013,5,13,72
48,2013,5,14,43
49,2013,5,15,78
50,2013,5,16,21
51,2013,5,17,54
52,2013,5,18,26
53,2013,5,19,18
54,2013,5,20,71
55,2013,5,21,48
56,2013,5,22,71
57,2013,5,23,53
58,2013,5,24,44
59,2013,5,25,36
60,2013,5,26,40
61,2013,5,27,73
62,2013,5,28,141
63,2013,5,29,119
64,2013,5,30,137
65,2013,5,31,134
