,year,mon,day,mac_address_num
0,2013,3,27,14
1,2013,3,28,13
2,2013,3,29,26
3,2013,3,30,18
4,2013,3,31,29
5,2013,4,1,23
6,2013,4,2,31
7,2013,4,3,31
8,2013,4,4,30
9,2013,4,5,25
10,2013,4,6,29
11,2013,4,7,20
12,2013,4,8,18
13,2013,4,9,34
14,2013,4,10,22
15,2013,4,11,25
16,2013,4,12,32
17,2013,4,13,41
18,2013,4,14,27
19,2013,4,15,37
20,2013,4,16,38
21,2013,4,17,36
22,2013,4,18,33
23,2013,4,19,31
24,2013,4,20,3
25,2013,4,21,7
26,2013,4,22,5
27,2013,4,23,19
28,2013,4,24,61
29,2013,4,25,58
30,2013,4,26,42
31,2013,4,27,25
32,2013,4,28,28
33,2013,4,29,44
34,2013,4,30,53
35,2013,5,1,26
36,2013,5,2,44
37,2013,5,3,40
38,2013,5,4,31
39,2013,5,5,30
40,2013,5,6,47
41,2013,5,7,40
42,2013,5,8,24
43,2013,5,9,26
44,2013,5,10,48
45,2013,5,11,22
46,2013,5,12,28
47,2013,5,13,32
48,2013,5,14,25
49,2013,5,15,69
50,2013,5,16,83
51,2013,5,17,120
52,2013,5,18,49
53,2013,5,19,50
54,2013,5,20,31
55,2013,5,21,46
56,2013,5,22,46
57,2013,5,27,39
58,2013,5,28,51
59,2013,5,29,87
60,2013,5,30,66
61,2013,5,31,97
