,year,mon,day,mac_address_num
0,2013,3,29,18
1,2013,3,30,17
2,2013,3,31,1
3,2013,4,1,15
4,2013,4,2,24
5,2013,4,3,33
6,2013,4,4,40
7,2013,4,5,39
8,2013,4,6,40
9,2013,4,7,19
10,2013,4,8,17
11,2013,4,9,27
12,2013,4,10,26
13,2013,4,11,28
14,2013,4,12,73
15,2013,4,13,20
16,2013,4,14,44
17,2013,4,15,28
18,2013,4,16,75
19,2013,4,17,44
20,2013,4,18,75
21,2013,4,19,42
22,2013,4,20,27
23,2013,4,21,20
24,2013,4,22,57
25,2013,4,23,82
26,2013,4,24,27
27,2013,4,25,65
28,2013,4,26,43
29,2013,4,27,28
30,2013,4,28,33
31,2013,4,29,66
32,2013,4,30,37
33,2013,5,1,77
34,2013,5,2,49
35,2013,5,4,22
36,2013,5,5,35
37,2013,5,6,99
38,2013,5,7,26
39,2013,5,10,53
40,2013,5,11,37
41,2013,5,12,50
42,2013,5,13,70
43,2013,5,14,50
44,2013,5,15,127
45,2013,5,16,74
46,2013,5,17,140
47,2013,5,18,62
48,2013,5,19,81
49,2013,5,20,102
50,2013,5,21,122
51,2013,5,22,77
52,2013,5,23,99
53,2013,5,24,92
54,2013,5,25,67
55,2013,5,26,39
56,2013,5,27,38
57,2013,5,28,114
58,2013,5,29,106
