,year,mon,day,mac_address_num
0,2013,3,27,8
1,2013,3,28,12
2,2013,3,29,13
3,2013,3,30,21
4,2013,3,31,20
5,2013,4,1,12
6,2013,4,2,21
7,2013,4,3,14
8,2013,4,4,19
9,2013,4,5,21
10,2013,4,6,17
11,2013,4,7,10
12,2013,4,8,10
13,2013,4,9,11
14,2013,4,10,18
15,2013,4,11,28
16,2013,4,12,9
17,2013,4,13,8
18,2013,4,14,1
19,2013,4,15,9
20,2013,4,16,14
21,2013,4,17,17
22,2013,4,18,32
23,2013,4,19,38
24,2013,4,20,10
25,2013,4,21,2
26,2013,4,22,17
27,2013,4,23,19
28,2013,4,24,17
29,2013,4,25,16
30,2013,4,26,14
31,2013,4,27,9
32,2013,4,28,1
33,2013,4,29,20
34,2013,4,30,8
35,2013,5,1,16
36,2013,5,2,11
37,2013,5,3,13
38,2013,5,4,14
39,2013,5,5,2
40,2013,5,6,9
41,2013,5,7,15
42,2013,5,8,5
43,2013,5,13,5
44,2013,5,14,16
45,2013,5,15,29
46,2013,5,16,20
47,2013,5,17,14
48,2013,5,18,10
49,2013,5,19,3
50,2013,5,20,11
51,2013,5,21,12
52,2013,5,22,13
53,2013,5,23,11
54,2013,5,24,22
55,2013,5,25,11
56,2013,5,26,5
57,2013,5,27,20
58,2013,5,28,11
59,2013,5,29,18
60,2013,5,30,9
61,2013,5,31,16
