,year,mon,day,mac_address_num
0,2013,3,27,24
1,2013,3,28,45
2,2013,3,29,33
3,2013,3,30,7
4,2013,3,31,7
5,2013,4,1,34
6,2013,4,2,73
7,2013,4,3,103
8,2013,4,4,47
9,2013,4,5,52
10,2013,4,6,11
11,2013,4,7,4
12,2013,4,8,121
13,2013,4,10,5
14,2013,4,11,41
15,2013,4,12,103
16,2013,4,13,12
17,2013,4,14,20
18,2013,4,15,72
19,2013,4,16,95
20,2013,4,17,141
21,2013,4,18,59
22,2013,4,19,128
23,2013,4,20,47
24,2013,4,21,76
25,2013,4,22,78
26,2013,4,23,119
27,2013,4,24,44
28,2013,4,25,35
29,2013,4,26,106
30,2013,4,27,8
31,2013,4,28,8
32,2013,4,29,4
33,2013,5,3,40
34,2013,5,4,19
35,2013,5,5,29
36,2013,5,6,83
37,2013,5,7,67
38,2013,5,8,58
39,2013,5,9,48
40,2013,5,10,2
41,2013,5,29,99
