,year,mon,day,mac_address_num
0,2013,3,27,15
1,2013,3,28,43
2,2013,3,29,69
3,2013,3,30,7
4,2013,3,31,7
5,2013,4,1,29
6,2013,4,2,25
7,2013,4,3,68
8,2013,4,4,46
9,2013,4,5,61
10,2013,4,6,19
11,2013,4,7,1
12,2013,4,8,35
13,2013,4,9,37
14,2013,4,10,72
15,2013,4,11,31
16,2013,4,12,100
17,2013,4,13,12
18,2013,4,14,13
19,2013,4,15,55
20,2013,4,16,44
21,2013,4,17,86
22,2013,4,18,66
23,2013,4,19,58
24,2013,4,20,13
25,2013,4,21,14
26,2013,4,22,97
27,2013,4,23,54
28,2013,4,24,43
29,2013,4,25,60
30,2013,4,26,92
31,2013,4,27,12
32,2013,4,28,6
33,2013,4,29,75
34,2013,4,30,40
35,2013,5,1,68
36,2013,5,2,58
37,2013,5,3,76
38,2013,5,4,14
39,2013,5,6,68
40,2013,5,7,41
41,2013,5,8,90
42,2013,5,9,6
43,2013,5,10,95
44,2013,5,11,14
45,2013,5,12,7
46,2013,5,13,47
47,2013,5,14,43
48,2013,5,15,35
49,2013,5,16,27
50,2013,5,17,4
51,2013,5,20,83
52,2013,5,21,180
53,2013,5,22,143
54,2013,5,23,58
55,2013,5,24,134
56,2013,5,25,122
