,year,mon,day,mac_address_num
0,2013,3,27,12
1,2013,3,28,36
2,2013,3,29,48
3,2013,3,31,3
4,2013,4,1,24
5,2013,4,2,10
6,2013,4,3,29
7,2013,4,4,14
8,2013,4,5,40
9,2013,4,6,9
10,2013,4,7,11
11,2013,4,8,1
12,2013,4,9,22
13,2013,4,10,28
14,2013,4,11,20
15,2013,4,12,18
16,2013,4,13,19
17,2013,4,14,4
18,2013,4,15,22
19,2013,4,16,45
20,2013,4,18,27
21,2013,4,19,33
22,2013,4,20,29
23,2013,4,21,7
24,2013,4,22,11
25,2013,4,23,48
26,2013,4,24,22
27,2013,4,25,22
28,2013,4,27,6
29,2013,4,28,12
30,2013,4,29,35
31,2013,4,30,30
32,2013,5,6,19
33,2013,5,8,68
34,2013,5,9,36
35,2013,5,10,14
36,2013,5,11,25
37,2013,5,12,18
38,2013,5,13,17
39,2013,5,14,20
40,2013,5,15,52
41,2013,5,19,4
42,2013,5,20,16
