,year,mon,day,mac_address_num
0,2013,3,27,6
1,2013,3,28,30
2,2013,3,29,47
3,2013,3,30,6
4,2013,3,31,2
5,2013,4,1,38
6,2013,4,2,42
7,2013,4,3,31
8,2013,4,4,32
9,2013,4,5,35
10,2013,4,6,36
11,2013,4,7,27
12,2013,4,8,45
13,2013,4,9,25
14,2013,4,10,41
15,2013,4,11,11
16,2013,4,12,29
17,2013,4,14,12
18,2013,4,15,38
19,2013,4,16,52
20,2013,4,17,70
21,2013,4,18,65
22,2013,4,19,41
23,2013,4,20,10
24,2013,4,21,16
25,2013,4,22,38
26,2013,4,23,50
27,2013,4,24,0
28,2013,4,25,15
29,2013,4,26,58
30,2013,4,28,14
31,2013,4,29,50
32,2013,4,30,83
33,2013,5,1,61
34,2013,5,2,7
35,2013,5,3,46
36,2013,5,6,54
37,2013,5,7,56
38,2013,5,8,82
39,2013,5,9,27
40,2013,5,10,51
41,2013,5,11,2
42,2013,5,12,20
43,2013,5,13,44
44,2013,5,14,54
45,2013,5,15,68
46,2013,5,16,5
47,2013,5,17,4
48,2013,5,19,7
49,2013,5,20,7
50,2013,5,21,29
51,2013,5,23,44
52,2013,5,24,41
53,2013,5,25,34
54,2013,5,26,5
