,year,mon,day,mac_address_num
0,2013,3,27,37
1,2013,3,28,5
2,2013,3,29,45
3,2013,3,30,5
4,2013,3,31,6
5,2013,4,1,56
6,2013,4,2,4
7,2013,4,3,59
8,2013,4,4,7
9,2013,4,5,16
10,2013,4,6,6
11,2013,4,7,3
12,2013,4,8,58
13,2013,4,9,35
14,2013,4,10,58
15,2013,4,11,2
16,2013,4,12,59
17,2013,4,13,13
18,2013,4,14,11
19,2013,4,15,74
20,2013,4,16,67
21,2013,4,17,78
22,2013,4,18,44
23,2013,4,19,58
24,2013,4,20,4
25,2013,4,21,3
26,2013,4,22,105
27,2013,4,23,23
28,2013,4,25,34
29,2013,4,26,5
30,2013,4,28,5
31,2013,4,29,98
32,2013,4,30,101
33,2013,5,5,24
34,2013,5,6,119
35,2013,5,7,35
36,2013,5,8,17
37,2013,5,9,2
38,2013,5,10,45
39,2013,5,11,1
40,2013,5,13,32
41,2013,5,14,60
42,2013,5,15,77
43,2013,5,16,3
44,2013,5,26,12
45,2013,5,27,5
46,2013,5,28,18
47,2013,5,29,70
48,2013,5,30,2
