,year,mon,day,mac_address_num
0,2013,3,27,29
1,2013,3,28,17
2,2013,3,29,40
3,2013,3,30,5
4,2013,3,31,8
5,2013,4,1,28
6,2013,4,2,10
7,2013,4,8,42
8,2013,4,9,7
9,2013,4,10,44
10,2013,4,11,44
11,2013,4,12,60
12,2013,4,13,9
13,2013,4,14,1
14,2013,4,15,48
15,2013,4,16,43
16,2013,4,17,56
17,2013,4,25,35
18,2013,4,26,97
19,2013,4,27,29
20,2013,4,28,4
21,2013,4,29,67
22,2013,4,30,89
23,2013,5,1,5
24,2013,5,2,53
25,2013,5,3,65
26,2013,5,4,12
27,2013,5,5,20
28,2013,5,6,20
29,2013,5,7,4
30,2013,5,8,98
31,2013,5,15,81
32,2013,5,16,69
33,2013,5,17,20
34,2013,5,18,5
35,2013,5,19,18
36,2013,5,20,44
37,2013,5,22,0
38,2013,5,23,49
39,2013,5,24,75
40,2013,5,25,10
41,2013,5,26,71
