,year,mon,day,mac_address_num
0,2013,3,27,36
1,2013,3,28,52
2,2013,3,29,64
3,2013,3,30,47
4,2013,3,31,28
5,2013,4,1,44
6,2013,4,2,57
7,2013,4,3,78
8,2013,4,4,97
9,2013,4,5,57
10,2013,4,6,37
11,2013,4,7,38
12,2013,4,8,80
13,2013,4,9,51
14,2013,4,10,41
15,2013,4,11,37
16,2013,4,12,78
17,2013,4,13,11
18,2013,4,14,8
19,2013,4,15,116
20,2013,4,16,44
21,2013,4,17,90
22,2013,4,18,75
23,2013,4,19,26
24,2013,4,20,10
25,2013,4,21,25
26,2013,4,22,70
27,2013,4,23,99
28,2013,4,24,64
29,2013,4,25,99
30,2013,4,26,105
31,2013,4,27,10
32,2013,4,28,36
33,2013,4,29,95
34,2013,4,30,72
35,2013,5,1,129
36,2013,5,2,61
37,2013,5,3,72
38,2013,5,4,5
39,2013,5,5,42
40,2013,5,6,138
41,2013,5,7,59
42,2013,5,8,103
43,2013,5,9,73
44,2013,5,10,112
45,2013,5,11,17
46,2013,5,12,6
47,2013,5,13,120
48,2013,5,14,79
49,2013,5,15,90
50,2013,5,16,15
51,2013,5,17,1
52,2013,5,18,3
53,2013,5,19,13
54,2013,5,20,64
55,2013,5,21,73
56,2013,5,22,127
57,2013,5,23,115
58,2013,5,24,0
59,2013,5,25,19
60,2013,5,27,165
61,2013,5,28,172
