,year,mon,day,mac_address_num
0,2013,3,28,11
1,2013,3,29,39
2,2013,3,30,29
3,2013,3,31,23
4,2013,4,1,40
5,2013,4,2,26
6,2013,4,3,44
7,2013,4,4,39
8,2013,4,5,35
9,2013,4,6,30
10,2013,4,7,24
11,2013,4,8,31
12,2013,4,9,29
13,2013,4,10,22
14,2013,4,11,34
15,2013,4,12,31
16,2013,4,13,40
17,2013,4,14,33
18,2013,4,15,43
19,2013,4,16,37
20,2013,4,17,73
21,2013,4,18,70
22,2013,4,19,63
23,2013,4,20,23
24,2013,4,21,34
25,2013,4,22,3
26,2013,4,23,36
27,2013,4,24,44
28,2013,4,25,25
29,2013,4,27,12
30,2013,4,28,20
31,2013,4,29,37
32,2013,4,30,14
33,2013,5,10,41
34,2013,5,11,33
35,2013,5,12,27
36,2013,5,15,63
37,2013,5,16,46
38,2013,5,29,4
39,2013,5,31,9
