,year,mon,day,mac_address_num
0,2013,3,28,7
1,2013,4,2,31
2,2013,4,3,44
3,2013,4,4,32
4,2013,4,5,56
5,2013,4,6,38
6,2013,4,7,21
7,2013,4,8,42
8,2013,4,9,30
9,2013,4,10,39
10,2013,4,11,20
11,2013,4,12,56
12,2013,4,13,20
13,2013,4,14,13
14,2013,4,15,22
15,2013,4,16,35
16,2013,4,17,63
17,2013,4,18,21
18,2013,4,19,49
19,2013,4,20,28
20,2013,4,21,19
21,2013,4,22,66
22,2013,4,23,67
23,2013,4,27,7
24,2013,4,28,22
25,2013,4,29,42
26,2013,4,30,53
27,2013,5,1,51
28,2013,5,2,29
29,2013,5,3,61
30,2013,5,4,17
31,2013,5,5,18
32,2013,5,6,46
33,2013,5,7,33
34,2013,5,8,53
35,2013,5,9,25
36,2013,5,10,20
37,2013,5,11,12
38,2013,5,14,29
39,2013,5,15,58
40,2013,5,16,15
41,2013,5,17,27
42,2013,5,18,17
43,2013,5,19,13
44,2013,5,20,13
45,2013,5,21,31
46,2013,5,22,44
47,2013,5,23,27
48,2013,5,24,37
49,2013,5,25,25
50,2013,5,26,27
51,2013,5,27,41
52,2013,5,28,108
53,2013,5,30,10
