,year,mon,day,mac_address_num
0,2013,3,28,31
1,2013,3,29,38
2,2013,3,30,10
3,2013,3,31,11
4,2013,4,1,38
5,2013,4,2,11
6,2013,4,3,22
7,2013,4,4,17
8,2013,4,5,29
9,2013,4,6,10
10,2013,4,7,5
11,2013,4,8,37
12,2013,4,9,11
13,2013,4,10,14
14,2013,4,11,28
15,2013,4,12,22
16,2013,4,13,7
17,2013,4,14,4
18,2013,4,15,47
19,2013,4,16,12
20,2013,4,17,52
21,2013,4,18,60
22,2013,4,19,30
23,2013,4,20,11
24,2013,4,21,6
25,2013,4,22,41
26,2013,4,23,6
27,2013,4,27,1
28,2013,4,28,16
29,2013,4,29,11
30,2013,4,30,14
31,2013,5,1,13
32,2013,5,2,8
33,2013,5,3,19
34,2013,5,8,11
35,2013,5,9,28
36,2013,5,10,14
37,2013,5,11,26
38,2013,5,12,20
39,2013,5,13,42
40,2013,5,14,15
41,2013,5,15,3
42,2013,5,16,2
43,2013,5,17,12
44,2013,5,18,3
