,year,mon,day,mac_address_num
0,2013,3,27,6
1,2013,3,28,47
2,2013,3,29,77
3,2013,3,30,35
4,2013,3,31,13
5,2013,4,1,67
6,2013,4,2,83
7,2013,4,3,82
8,2013,4,4,64
9,2013,4,5,88
10,2013,4,6,16
11,2013,4,7,4
12,2013,4,8,89
13,2013,4,9,103
14,2013,4,10,66
15,2013,4,11,24
16,2013,4,12,97
17,2013,4,13,10
18,2013,4,14,25
19,2013,4,15,102
20,2013,4,16,114
21,2013,4,17,114
22,2013,4,18,93
23,2013,4,19,107
24,2013,4,20,22
25,2013,4,21,4
26,2013,4,22,118
27,2013,4,23,138
28,2013,4,24,60
29,2013,4,25,66
30,2013,4,26,103
31,2013,4,27,18
32,2013,4,28,10
33,2013,4,29,131
34,2013,4,30,126
35,2013,5,1,146
36,2013,5,2,63
37,2013,5,3,73
38,2013,5,4,42
39,2013,5,5,46
40,2013,5,6,105
41,2013,5,7,88
42,2013,5,8,120
43,2013,5,9,72
44,2013,5,10,89
45,2013,5,11,22
46,2013,5,12,3
47,2013,5,13,93
48,2013,5,14,88
49,2013,5,15,86
50,2013,5,16,24
51,2013,5,17,2
52,2013,5,20,81
53,2013,5,21,88
54,2013,5,22,181
55,2013,5,23,211
56,2013,5,24,84
57,2013,5,25,164
58,2013,5,26,169
59,2013,5,27,178
60,2013,5,28,168
